model,target_entries,1k,2k,4k,8k,16k,32k,64k,128k
lora_base,0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
lora_base,2,240.0,451.0,501.0,501.0,501.0,501.0,501.0,501.0
lora_base,3,33.0,84.0,105.0,105.0,105.0,105.0,105.0,105.0
lora_base,4,5.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0
y2_base,0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
y2_base,2,240.0,451.0,501.0,501.0,501.0,501.0,501.0,501.0
y2_base,3,33.0,84.0,105.0,105.0,105.0,105.0,105.0,105.0
y2_base,4,5.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0
y2_rpe_cur_L16k,0,50.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
y2_rpe_cur_L16k,2,240.0,451.0,501.0,501.0,501.0,501.0,501.0,501.0
y2_rpe_cur_L16k,3,33.0,84.0,105.0,105.0,105.0,105.0,105.0,105.0
y2_rpe_cur_L16k,4,5.0,12.0,15.0,15.0,15.0,15.0,15.0,15.0
