model,mean_pos_q,beg,mid,end
lora_base,Q1,0.7486077963404932,,
lora_base,Q2,0.6997635933806147,0.7280385078219013,
lora_base,Q3,1.0,0.737410071942446,0.8333333333333334
lora_base,Q4,,1.0,0.8490415335463258
y2_base,Q1,0.6976929196499603,,
y2_base,Q2,0.6690307328605201,0.6702767749699158,
y2_base,Q3,1.0,0.6798561151079137,0.7928571428571428
y2_base,Q4,,0.6666666666666666,0.8210862619808307
y2_rpe_cur_L16k,Q1,0.7700875099443119,,
y2_rpe_cur_L16k,Q2,0.7257683215130024,0.7509025270758123,
y2_rpe_cur_L16k,Q3,0.0,0.7745803357314148,0.8928571428571429
y2_rpe_cur_L16k,Q4,,1.0,0.8706070287539937
