model,original_idx,n_cells,n_correct,frac_correct
lora_base,3,24,15,0.625
lora_base,4,24,12,0.5
lora_base,9,21,17,0.8095238095238095
lora_base,21,24,19,0.7916666666666666
lora_base,22,24,5,0.20833333333333334
lora_base,25,23,15,0.6521739130434783
lora_base,26,21,17,0.8095238095238095
lora_base,27,21,18,0.8571428571428571
lora_base,28,21,17,0.8095238095238095
lora_base,29,21,16,0.7619047619047619
lora_base,35,24,14,0.5833333333333334
lora_base,37,21,17,0.8095238095238095
lora_base,40,21,16,0.7619047619047619
lora_base,41,21,19,0.9047619047619048
lora_base,42,21,6,0.2857142857142857
lora_base,47,24,24,1.0
lora_base,50,21,19,0.9047619047619048
lora_base,57,24,22,0.9166666666666666
lora_base,60,24,18,0.75
lora_base,64,24,22,0.9166666666666666
lora_base,73,21,14,0.6666666666666666
lora_base,76,24,23,0.9583333333333334
lora_base,83,21,18,0.8571428571428571
lora_base,94,21,19,0.9047619047619048
lora_base,95,24,24,1.0
lora_base,98,24,20,0.8333333333333334
lora_base,99,24,20,0.8333333333333334
lora_base,106,24,13,0.5416666666666666
lora_base,107,24,10,0.4166666666666667
lora_base,130,23,15,0.6521739130434783
lora_base,132,21,16,0.7619047619047619
lora_base,133,21,16,0.7619047619047619
lora_base,136,24,24,1.0
lora_base,138,21,21,1.0
lora_base,144,24,24,1.0
lora_base,149,24,24,1.0
lora_base,151,18,17,0.9444444444444444
lora_base,152,18,14,0.7777777777777778
lora_base,154,18,14,0.7777777777777778
lora_base,162,24,22,0.9166666666666666
lora_base,163,23,23,1.0
lora_base,164,24,22,0.9166666666666666
lora_base,169,24,24,1.0
lora_base,175,24,23,0.9583333333333334
lora_base,177,24,19,0.7916666666666666
lora_base,178,24,19,0.7916666666666666
lora_base,179,24,22,0.9166666666666666
lora_base,180,21,17,0.8095238095238095
lora_base,181,21,18,0.8571428571428571
lora_base,192,21,12,0.5714285714285714
lora_base,196,24,19,0.7916666666666666
lora_base,198,23,14,0.6086956521739131
lora_base,201,24,24,1.0
lora_base,203,23,23,1.0
lora_base,209,24,12,0.5
lora_base,217,21,15,0.7142857142857143
lora_base,228,24,16,0.6666666666666666
lora_base,232,20,16,0.8
lora_base,240,22,22,1.0
lora_base,241,21,20,0.9523809523809523
lora_base,275,24,10,0.4166666666666667
lora_base,276,24,7,0.2916666666666667
lora_base,283,21,19,0.9047619047619048
lora_base,284,21,10,0.47619047619047616
lora_base,289,24,23,0.9583333333333334
lora_base,291,18,15,0.8333333333333334
lora_base,295,24,20,0.8333333333333334
lora_base,297,24,21,0.875
lora_base,308,21,15,0.7142857142857143
lora_base,309,21,4,0.19047619047619047
lora_base,313,21,18,0.8571428571428571
lora_base,314,21,20,0.9523809523809523
lora_base,325,24,24,1.0
lora_base,331,24,24,1.0
lora_base,335,21,13,0.6190476190476191
lora_base,336,21,14,0.6666666666666666
lora_base,337,18,2,0.1111111111111111
lora_base,338,18,15,0.8333333333333334
lora_base,339,18,11,0.6111111111111112
lora_base,343,21,14,0.6666666666666666
lora_base,349,21,17,0.8095238095238095
lora_base,354,18,5,0.2777777777777778
lora_base,359,21,18,0.8571428571428571
lora_base,364,18,2,0.1111111111111111
lora_base,366,24,22,0.9166666666666666
lora_base,368,24,24,1.0
lora_base,369,24,23,0.9583333333333334
lora_base,378,24,19,0.7916666666666666
lora_base,379,21,12,0.5714285714285714
lora_base,382,24,23,0.9583333333333334
lora_base,384,18,8,0.4444444444444444
lora_base,391,24,16,0.6666666666666666
lora_base,392,21,18,0.8571428571428571
lora_base,394,21,19,0.9047619047619048
lora_base,398,18,14,0.7777777777777778
lora_base,399,18,15,0.8333333333333334
lora_base,401,24,17,0.7083333333333334
lora_base,402,24,10,0.4166666666666667
lora_base,403,21,15,0.7142857142857143
lora_base,413,21,17,0.8095238095238095
lora_base,414,21,16,0.7619047619047619
lora_base,417,24,24,1.0
lora_base,424,21,4,0.19047619047619047
lora_base,444,22,5,0.22727272727272727
lora_base,448,24,21,0.875
lora_base,454,18,5,0.2777777777777778
lora_base,474,24,21,0.875
lora_base,475,21,15,0.7142857142857143
lora_base,476,21,11,0.5238095238095238
lora_base,477,21,18,0.8571428571428571
lora_base,479,21,19,0.9047619047619048
lora_base,480,23,18,0.782608695652174
lora_base,483,24,24,1.0
lora_base,503,21,20,0.9523809523809523
lora_base,504,21,20,0.9523809523809523
lora_base,512,21,14,0.6666666666666666
lora_base,513,21,18,0.8571428571428571
lora_base,514,21,15,0.7142857142857143
lora_base,524,22,20,0.9090909090909091
lora_base,538,21,18,0.8571428571428571
lora_base,539,21,15,0.7142857142857143
lora_base,545,24,21,0.875
lora_base,549,21,20,0.9523809523809523
lora_base,559,23,22,0.9565217391304348
lora_base,575,24,14,0.5833333333333334
lora_base,576,24,16,0.6666666666666666
lora_base,577,24,23,0.9583333333333334
lora_base,578,24,15,0.625
lora_base,579,24,3,0.125
lora_base,586,21,17,0.8095238095238095
lora_base,587,21,18,0.8571428571428571
lora_base,588,21,18,0.8571428571428571
lora_base,592,24,21,0.875
lora_base,597,24,23,0.9583333333333334
lora_base,601,24,20,0.8333333333333334
lora_base,607,24,12,0.5
lora_base,615,24,19,0.7916666666666666
lora_base,616,21,4,0.19047619047619047
lora_base,617,21,8,0.38095238095238093
lora_base,620,24,24,1.0
lora_base,629,24,20,0.8333333333333334
lora_base,640,24,24,1.0
lora_base,641,24,24,1.0
lora_base,642,24,23,0.9583333333333334
lora_base,643,24,6,0.25
lora_base,645,24,24,1.0
lora_base,646,24,24,1.0
lora_base,648,24,24,1.0
lora_base,655,24,12,0.5
lora_base,656,24,10,0.4166666666666667
lora_base,657,21,19,0.9047619047619048
lora_base,689,24,19,0.7916666666666666
lora_base,697,21,15,0.7142857142857143
lora_base,698,21,14,0.6666666666666666
lora_base,704,18,13,0.7222222222222222
lora_base,709,18,17,0.9444444444444444
lora_base,713,18,14,0.7777777777777778
lora_base,714,18,12,0.6666666666666666
lora_base,718,21,19,0.9047619047619048
lora_base,728,24,21,0.875
lora_base,735,24,17,0.7083333333333334
lora_base,736,23,13,0.5652173913043478
lora_base,737,21,11,0.5238095238095238
lora_base,739,21,2,0.09523809523809523
lora_base,740,24,24,1.0
lora_base,748,21,19,0.9047619047619048
lora_base,755,21,21,1.0
lora_base,756,21,21,1.0
lora_base,757,21,19,0.9047619047619048
lora_base,759,21,15,0.7142857142857143
lora_base,763,21,15,0.7142857142857143
lora_base,775,24,23,0.9583333333333334
lora_base,778,18,11,0.6111111111111112
lora_base,782,24,22,0.9166666666666666
lora_base,783,24,22,0.9166666666666666
lora_base,788,18,12,0.6666666666666666
lora_base,795,24,23,0.9583333333333334
lora_base,799,23,17,0.7391304347826086
lora_base,800,24,22,0.9166666666666666
lora_base,806,23,18,0.782608695652174
lora_base,807,21,20,0.9523809523809523
lora_base,808,21,18,0.8571428571428571
lora_base,809,21,19,0.9047619047619048
lora_base,813,21,2,0.09523809523809523
lora_base,814,21,17,0.8095238095238095
lora_base,822,24,24,1.0
lora_base,823,24,19,0.7916666666666666
lora_base,824,21,20,0.9523809523809523
lora_base,826,23,21,0.9130434782608695
lora_base,828,21,16,0.7619047619047619
lora_base,839,24,22,0.9166666666666666
lora_base,843,24,7,0.2916666666666667
lora_base,844,24,4,0.16666666666666666
lora_base,849,18,6,0.3333333333333333
lora_base,853,21,18,0.8571428571428571
lora_base,854,21,19,0.9047619047619048
lora_base,859,21,19,0.9047619047619048
lora_base,870,24,22,0.9166666666666666
lora_base,879,24,19,0.7916666666666666
lora_base,881,21,20,0.9523809523809523
lora_base,883,21,9,0.42857142857142855
lora_base,885,24,24,1.0
lora_base,891,24,24,1.0
lora_base,892,24,24,1.0
lora_base,899,24,22,0.9166666666666666
lora_base,901,24,20,0.8333333333333334
lora_base,904,18,5,0.2777777777777778
lora_base,917,24,19,0.7916666666666666
lora_base,929,18,13,0.7222222222222222
lora_base,936,23,20,0.8695652173913043
lora_base,940,23,23,1.0
lora_base,941,24,21,0.875
lora_base,942,24,22,0.9166666666666666
lora_base,946,21,13,0.6190476190476191
lora_base,947,21,16,0.7619047619047619
lora_base,958,24,22,0.9166666666666666
lora_base,959,23,20,0.8695652173913043
lora_base,960,24,24,1.0
lora_base,968,21,17,0.8095238095238095
lora_base,973,21,13,0.6190476190476191
lora_base,978,24,23,0.9583333333333334
lora_base,984,21,5,0.23809523809523808
lora_base,989,24,22,0.9166666666666666
lora_base,990,24,24,1.0
lora_base,993,18,14,0.7777777777777778
lora_base,997,20,19,0.95
lora_base,998,18,15,0.8333333333333334
y2_base,3,24,6,0.25
y2_base,4,24,4,0.16666666666666666
y2_base,9,21,16,0.7619047619047619
y2_base,21,24,20,0.8333333333333334
y2_base,22,24,4,0.16666666666666666
y2_base,25,23,4,0.17391304347826086
y2_base,26,21,20,0.9523809523809523
y2_base,27,21,20,0.9523809523809523
y2_base,28,21,17,0.8095238095238095
y2_base,29,21,18,0.8571428571428571
y2_base,35,24,20,0.8333333333333334
y2_base,37,21,16,0.7619047619047619
y2_base,40,21,11,0.5238095238095238
y2_base,41,21,11,0.5238095238095238
y2_base,42,21,11,0.5238095238095238
y2_base,47,24,24,1.0
y2_base,50,21,15,0.7142857142857143
y2_base,57,24,22,0.9166666666666666
y2_base,60,24,21,0.875
y2_base,64,24,12,0.5
y2_base,73,21,8,0.38095238095238093
y2_base,76,24,21,0.875
y2_base,83,21,19,0.9047619047619048
y2_base,94,21,17,0.8095238095238095
y2_base,95,24,24,1.0
y2_base,98,24,19,0.7916666666666666
y2_base,99,24,17,0.7083333333333334
y2_base,106,24,14,0.5833333333333334
y2_base,107,24,17,0.7083333333333334
y2_base,130,23,15,0.6521739130434783
y2_base,132,21,18,0.8571428571428571
y2_base,133,21,19,0.9047619047619048
y2_base,136,24,24,1.0
y2_base,138,21,19,0.9047619047619048
y2_base,144,24,21,0.875
y2_base,149,24,24,1.0
y2_base,151,18,16,0.8888888888888888
y2_base,152,18,13,0.7222222222222222
y2_base,154,18,15,0.8333333333333334
y2_base,162,24,24,1.0
y2_base,163,23,21,0.9130434782608695
y2_base,164,24,11,0.4583333333333333
y2_base,169,24,10,0.4166666666666667
y2_base,175,24,24,1.0
y2_base,177,24,24,1.0
y2_base,178,24,13,0.5416666666666666
y2_base,179,24,24,1.0
y2_base,180,21,21,1.0
y2_base,181,21,17,0.8095238095238095
y2_base,192,21,13,0.6190476190476191
y2_base,196,24,21,0.875
y2_base,198,23,14,0.6086956521739131
y2_base,201,24,21,0.875
y2_base,203,23,21,0.9130434782608695
y2_base,209,24,3,0.125
y2_base,217,21,15,0.7142857142857143
y2_base,228,24,21,0.875
y2_base,232,20,14,0.7
y2_base,240,22,14,0.6363636363636364
y2_base,241,21,7,0.3333333333333333
y2_base,275,24,16,0.6666666666666666
y2_base,276,24,0,0.0
y2_base,283,21,17,0.8095238095238095
y2_base,284,21,8,0.38095238095238093
y2_base,289,24,17,0.7083333333333334
y2_base,291,18,15,0.8333333333333334
y2_base,295,24,19,0.7916666666666666
y2_base,297,24,12,0.5
y2_base,308,21,15,0.7142857142857143
y2_base,309,21,5,0.23809523809523808
y2_base,313,21,19,0.9047619047619048
y2_base,314,21,16,0.7619047619047619
y2_base,325,24,24,1.0
y2_base,331,24,24,1.0
y2_base,335,21,17,0.8095238095238095
y2_base,336,21,17,0.8095238095238095
y2_base,337,18,14,0.7777777777777778
y2_base,338,18,4,0.2222222222222222
y2_base,339,18,4,0.2222222222222222
y2_base,343,21,20,0.9523809523809523
y2_base,349,21,8,0.38095238095238093
y2_base,354,18,17,0.9444444444444444
y2_base,359,21,18,0.8571428571428571
y2_base,364,18,11,0.6111111111111112
y2_base,366,24,23,0.9583333333333334
y2_base,368,24,23,0.9583333333333334
y2_base,369,24,21,0.875
y2_base,378,24,17,0.7083333333333334
y2_base,379,21,10,0.47619047619047616
y2_base,382,24,18,0.75
y2_base,384,18,12,0.6666666666666666
y2_base,391,24,10,0.4166666666666667
y2_base,392,21,19,0.9047619047619048
y2_base,394,21,21,1.0
y2_base,398,18,13,0.7222222222222222
y2_base,399,18,10,0.5555555555555556
y2_base,401,24,11,0.4583333333333333
y2_base,402,24,15,0.625
y2_base,403,21,8,0.38095238095238093
y2_base,413,21,6,0.2857142857142857
y2_base,414,21,20,0.9523809523809523
y2_base,417,24,24,1.0
y2_base,424,21,17,0.8095238095238095
y2_base,444,22,8,0.36363636363636365
y2_base,448,24,19,0.7916666666666666
y2_base,454,18,4,0.2222222222222222
y2_base,474,24,20,0.8333333333333334
y2_base,475,21,18,0.8571428571428571
y2_base,476,21,12,0.5714285714285714
y2_base,477,21,20,0.9523809523809523
y2_base,479,21,19,0.9047619047619048
y2_base,480,23,21,0.9130434782608695
y2_base,483,24,23,0.9583333333333334
y2_base,503,21,18,0.8571428571428571
y2_base,504,21,20,0.9523809523809523
y2_base,512,21,15,0.7142857142857143
y2_base,513,21,14,0.6666666666666666
y2_base,514,21,12,0.5714285714285714
y2_base,524,22,22,1.0
y2_base,538,21,10,0.47619047619047616
y2_base,539,21,17,0.8095238095238095
y2_base,545,24,18,0.75
y2_base,549,21,17,0.8095238095238095
y2_base,559,23,20,0.8695652173913043
y2_base,575,24,23,0.9583333333333334
y2_base,576,24,21,0.875
y2_base,577,24,15,0.625
y2_base,578,24,13,0.5416666666666666
y2_base,579,24,2,0.08333333333333333
y2_base,586,21,15,0.7142857142857143
y2_base,587,21,12,0.5714285714285714
y2_base,588,21,10,0.47619047619047616
y2_base,592,24,7,0.2916666666666667
y2_base,597,24,24,1.0
y2_base,601,24,24,1.0
y2_base,607,24,5,0.20833333333333334
