model,bin,beg,mid,end
lora_base,1k,0.896551724137931,0.9134615384615384,0.9074074074074074
lora_base,2k,0.7832512315270936,0.8663366336633663,0.905940594059406
lora_base,4k,0.7973568281938326,0.775330396475771,0.9118942731277533
lora_base,8k,0.73568281938326,0.8502202643171806,0.8634361233480177
lora_base,16k,0.8105726872246696,0.5594713656387665,0.8766519823788547
lora_base,32k,0.7136563876651982,0.7577092511013216,0.8458149779735683
lora_base,64k,0.6431718061674009,0.7092511013215859,0.775330396475771
lora_base,128k,0.5947136563876652,0.5462555066079295,0.7136563876651982
y2_base,1k,0.8017241379310345,0.7980769230769231,0.7962962962962963
y2_base,2k,0.7980295566502463,0.7871287128712872,0.8564356435643564
y2_base,4k,0.7533039647577092,0.7444933920704846,0.8678414096916299
y2_base,8k,0.7180616740088106,0.73568281938326,0.8722466960352423
y2_base,16k,0.7268722466960352,0.5550660792951542,0.8458149779735683
y2_base,32k,0.6475770925110133,0.7268722466960352,0.8414096916299559
y2_base,64k,0.5991189427312775,0.6563876651982379,0.7841409691629956
y2_base,128k,0.5462555066079295,0.47577092511013214,0.6431718061674009
y2_rpe_cur_L16k,1k,0.8362068965517241,0.875,0.8611111111111112
y2_rpe_cur_L16k,2k,0.8374384236453202,0.8217821782178217,0.8663366336633663
y2_rpe_cur_L16k,4k,0.7797356828193832,0.8414096916299559,0.8678414096916299
y2_rpe_cur_L16k,8k,0.775330396475771,0.8546255506607929,0.8854625550660793
y2_rpe_cur_L16k,16k,0.8105726872246696,0.7444933920704846,0.9074889867841409
y2_rpe_cur_L16k,32k,0.7665198237885462,0.7400881057268722,0.9030837004405287
y2_rpe_cur_L16k,64k,0.6079295154185022,0.7268722466960352,0.8854625550660793
y2_rpe_cur_L16k,128k,0.7004405286343612,0.5682819383259912,0.8237885462555066
