bin,condition,ks_stat,p_value,median_ref,median_cond,max_ref,max_cond
0k,y2_base,0.0472,3.472022e-01,0.0286,0.0272,0.5055,0.4777
0k,y2_rpe_cur_L16k,0.0446,4.155803e-01,0.0286,0.0254,0.5055,0.4791
1k,y2_base,0.0459,3.804339e-01,0.0068,0.0069,0.1180,0.1222
1k,y2_rpe_cur_L16k,0.0344,7.415402e-01,0.0068,0.0063,0.1180,0.1367
2k,y2_base,0.0344,7.415402e-01,0.0273,0.0230,0.4730,0.5071
2k,y2_rpe_cur_L16k,0.0459,3.804339e-01,0.0273,0.0214,0.4730,0.5317
4k,y2_base,0.0395,5.725511e-01,0.0211,0.0173,0.4529,0.4571
4k,y2_rpe_cur_L16k,0.0472,3.472022e-01,0.0211,0.0165,0.4529,0.5085
8k,y2_base,0.0446,4.155803e-01,0.0140,0.0105,0.4642,0.4123
8k,y2_rpe_cur_L16k,0.0599,1.194862e-01,0.0140,0.0109,0.4642,0.5051
16k,y2_base,0.0651,7.245965e-02,0.0095,0.0070,0.4696,0.4206
16k,y2_rpe_cur_L16k,0.0689,4.846933e-02,0.0095,0.0069,0.4696,0.4411
32k,y2_base,0.0778,1.733908e-02,0.0068,0.0048,0.4908,0.4437
32k,y2_rpe_cur_L16k,0.0740,2.735513e-02,0.0068,0.0049,0.4908,0.4842
64k,y2_base,0.0829,9.107773e-03,0.0038,0.0026,0.4607,0.4115
64k,y2_rpe_cur_L16k,0.0931,2.221549e-03,0.0038,0.0023,0.4607,0.4067
128k,y2_base,0.0587,1.345313e-01,0.0012,0.0012,0.4069,0.3263
128k,y2_rpe_cur_L16k,0.0523,2.340576e-01,0.0012,0.0008,0.4069,0.3590
