bin,head,condition,ref_score,score,delta
0k,11-27,lora_base,0.505546,0.505546,0.000000
0k,19-20,lora_base,0.494914,0.494914,0.000000
0k,19-22,lora_base,0.480162,0.480162,0.000000
0k,12-24,lora_base,0.445627,0.445627,0.000000
0k,16-4,lora_base,0.432757,0.432757,0.000000
0k,16-1,lora_base,0.431792,0.431792,0.000000
0k,18-16,lora_base,0.406198,0.406198,0.000000
0k,19-15,lora_base,0.405309,0.405309,0.000000
0k,19-18,lora_base,0.403078,0.403078,0.000000
0k,14-8,lora_base,0.395388,0.395388,0.000000
0k,11-23,lora_base,0.393860,0.393860,0.000000
0k,8-24,lora_base,0.381671,0.381671,0.000000
0k,16-0,lora_base,0.378814,0.378814,0.000000
0k,19-6,lora_base,0.364190,0.364190,0.000000
0k,16-6,lora_base,0.361677,0.361677,0.000000
0k,16-20,lora_base,0.355026,0.355026,0.000000
0k,11-27,y2_base,0.505546,0.477738,-0.027808
0k,19-20,y2_base,0.494914,0.427173,-0.067741
0k,19-22,y2_base,0.480162,0.402252,-0.077911
0k,12-24,y2_base,0.445627,0.443283,-0.002343
0k,16-4,y2_base,0.432757,0.438120,0.005364
0k,16-1,y2_base,0.431792,0.380401,-0.051391
0k,18-16,y2_base,0.406198,0.344847,-0.061351
0k,19-15,y2_base,0.405309,0.425604,0.020296
0k,19-18,y2_base,0.403078,0.345914,-0.057164
0k,14-8,y2_base,0.395388,0.257269,-0.138119
0k,11-23,y2_base,0.393860,0.440813,0.046953
0k,8-24,y2_base,0.381671,0.321227,-0.060445
0k,16-0,y2_base,0.378814,0.419076,0.040262
0k,19-6,y2_base,0.364190,0.311217,-0.052973
0k,16-6,y2_base,0.361677,0.354053,-0.007624
0k,16-20,y2_base,0.355026,0.333448,-0.021578
0k,11-27,y2_rpe_cur_L16k,0.505546,0.363826,-0.141720
0k,19-20,y2_rpe_cur_L16k,0.494914,0.479123,-0.015790
0k,19-22,y2_rpe_cur_L16k,0.480162,0.402157,-0.078005
0k,12-24,y2_rpe_cur_L16k,0.445627,0.427191,-0.018435
0k,16-4,y2_rpe_cur_L16k,0.432757,0.317178,-0.115579
0k,16-1,y2_rpe_cur_L16k,0.431792,0.358106,-0.073686
0k,18-16,y2_rpe_cur_L16k,0.406198,0.374162,-0.032036
0k,19-15,y2_rpe_cur_L16k,0.405309,0.418454,0.013145
0k,19-18,y2_rpe_cur_L16k,0.403078,0.408828,0.005750
