k,bin,comparison,jaccard,n_overlap
8,0k,lora vs y2,0.4545,5
8,0k,lora vs y2_rpe,0.4545,5
8,0k,y2 vs y2_rpe,0.3333,4
8,0k,lora vs published,0.0000,0
8,0k,y2 vs published,0.0667,1
8,0k,y2_rpe vs published,0.0000,0
8,1k,lora vs y2,0.6000,6
8,1k,lora vs y2_rpe,0.4545,5
8,1k,y2 vs y2_rpe,0.3333,4
8,1k,lora vs published,0.0667,1
8,1k,y2 vs published,0.0667,1
8,1k,y2_rpe vs published,0.0000,0
8,2k,lora vs y2,0.3333,4
8,2k,lora vs y2_rpe,0.3333,4
8,2k,y2 vs y2_rpe,0.2308,3
8,2k,lora vs published,0.0667,1
8,2k,y2 vs published,0.0667,1
8,2k,y2_rpe vs published,0.0000,0
8,4k,lora vs y2,0.3333,4
8,4k,lora vs y2_rpe,0.6000,6
8,4k,y2 vs y2_rpe,0.3333,4
8,4k,lora vs published,0.0667,1
8,4k,y2 vs published,0.1429,2
8,4k,y2_rpe vs published,0.0667,1
8,8k,lora vs y2,0.2308,3
8,8k,lora vs y2_rpe,0.6000,6
8,8k,y2 vs y2_rpe,0.2308,3
8,8k,lora vs published,0.0667,1
8,8k,y2 vs published,0.1429,2
8,8k,y2_rpe vs published,0.0667,1
8,16k,lora vs y2,0.6000,6
8,16k,lora vs y2_rpe,0.4545,5
8,16k,y2 vs y2_rpe,0.3333,4
8,16k,lora vs published,0.1429,2
8,16k,y2 vs published,0.2308,3
8,16k,y2_rpe vs published,0.0667,1
8,32k,lora vs y2,0.7778,7
8,32k,lora vs y2_rpe,0.6000,6
8,32k,y2 vs y2_rpe,0.6000,6
8,32k,lora vs published,0.1429,2
8,32k,y2 vs published,0.2308,3
8,32k,y2_rpe vs published,0.0667,1
8,64k,lora vs y2,0.6000,6
8,64k,lora vs y2_rpe,0.6000,6
8,64k,y2 vs y2_rpe,0.7778,7
8,64k,lora vs published,0.1429,2
8,64k,y2 vs published,0.1429,2
8,64k,y2_rpe vs published,0.1429,2
8,128k,lora vs y2,1.0000,8
8,128k,lora vs y2_rpe,0.7778,7
8,128k,y2 vs y2_rpe,0.7778,7
8,128k,lora vs published,0.0000,0
8,128k,y2 vs published,0.0000,0
8,128k,y2_rpe vs published,0.0667,1
16,0k,lora vs y2,0.3913,9
16,0k,lora vs y2_rpe,0.4545,10
16,0k,y2 vs y2_rpe,0.3333,8
16,0k,lora vs published,0.1852,5
16,0k,y2 vs published,0.0667,2
