condition,bin,head,score,rank
lora_base,0k,16-19,0.148371,131
lora_base,0k,16-2,0.247509,57
lora_base,0k,16-20,0.355026,16
lora_base,0k,16-14,0.249938,56
lora_base,0k,16-0,0.378814,13
lora_base,0k,15-24,0.188034,99
lora_base,0k,16-18,0.255594,49
lora_base,0k,17-18,0.059850,284
lora_base,0k,16-1,0.431792,6
lora_base,0k,19-18,0.403078,9
lora_base,0k,19-19,0.259418,48
lora_base,0k,18-16,0.406198,7
lora_base,0k,16-17,0.188386,98
lora_base,0k,19-25,0.194903,91
lora_base,0k,19-17,0.265285,47
lora_base,0k,20-21,0.275258,43
lora_base,1k,16-19,0.036692,110
lora_base,1k,16-2,0.048701,73
lora_base,1k,16-20,0.097218,7
lora_base,1k,16-14,0.076968,23
lora_base,1k,16-0,0.078713,20
lora_base,1k,15-24,0.036358,114
lora_base,1k,16-18,0.063235,40
lora_base,1k,17-18,0.019321,238
lora_base,1k,16-1,0.086397,15
lora_base,1k,19-18,0.087581,14
lora_base,1k,19-19,0.051963,67
lora_base,1k,18-16,0.104669,4
lora_base,1k,16-17,0.053310,62
lora_base,1k,19-25,0.046796,76
lora_base,1k,19-17,0.078697,21
lora_base,1k,20-21,0.075926,24
lora_base,2k,16-19,0.142146,131
lora_base,2k,16-2,0.213711,68
lora_base,2k,16-20,0.401720,8
lora_base,2k,16-14,0.304632,28
lora_base,2k,16-0,0.383493,16
lora_base,2k,15-24,0.167608,97
lora_base,2k,16-18,0.270610,40
lora_base,2k,17-18,0.060450,281
lora_base,2k,16-1,0.391496,12
lora_base,2k,19-18,0.397535,10
lora_base,2k,19-19,0.246088,54
lora_base,2k,18-16,0.454711,4
lora_base,2k,16-17,0.241989,55
lora_base,2k,19-25,0.199722,77
lora_base,2k,19-17,0.273801,39
lora_base,2k,20-21,0.323974,23
lora_base,4k,16-19,0.130351,145
lora_base,4k,16-2,0.179182,86
lora_base,4k,16-20,0.416347,5
lora_base,4k,16-14,0.291204,28
lora_base,4k,16-0,0.371094,11
lora_base,4k,15-24,0.172033,97
lora_base,4k,16-18,0.265315,36
lora_base,4k,17-18,0.052572,289
lora_base,4k,16-1,0.361853,12
lora_base,4k,19-18,0.357180,15
lora_base,4k,19-19,0.235606,50
lora_base,4k,18-16,0.452883,1
lora_base,4k,16-17,0.239026,47
lora_base,4k,19-25,0.212366,66
lora_base,4k,19-17,0.249498,41
