zone,bin,n,y2_rpe_cur_L16k_only,lora_base_only,both_correct,both_wrong,net_a_minus_b
beg,1k,116,7,14,90,5,-7
beg,2k,203,29,18,141,15,11
beg,4k,227,24,28,153,22,-4
beg,8k,227,36,27,140,24,9
beg,16k,227,27,27,157,16,0
beg,32k,227,37,25,137,28,12
beg,64k,227,32,40,106,49,-8
beg,128k,227,54,30,105,38,24
mid,1k,104,5,9,86,4,-4
mid,2k,202,15,24,151,12,-9
mid,4k,227,36,21,155,15,15
mid,8k,227,26,25,168,8,1
mid,16k,227,59,17,110,41,42
mid,32k,227,30,34,138,25,-4
mid,64k,227,37,33,128,29,4
mid,128k,227,44,39,85,59,5
end,1k,108,5,10,88,5,-5
end,2k,202,11,19,164,8,-8
end,4k,227,13,23,184,7,-10
end,8k,227,21,16,180,10,5
end,16k,227,24,17,182,4,7
end,32k,227,26,13,179,9,13
end,64k,227,42,17,159,9,25
end,128k,227,46,21,141,19,25
