k,bin,condition,n,n_correct,mean_sig,mean_sig_correct,mean_sig_wrong,r_pointbiserial,p_pointbiserial,r_spearman
8,0k,lora_base,60,53,3.6023,3.5709,3.8399,-0.1657,2.0584e-01,-0.1814
8,0k,y2_base,60,45,3.4765,3.4671,3.5045,-0.0488,7.1130e-01,-0.0589
8,0k,y2_rpe_cur_L16k,60,46,3.3093,3.2722,3.4311,-0.2048,1.1655e-01,-0.2253
8,1k,lora_base,56,52,0.8370,0.8031,1.2766,-0.1562,2.5021e-01,0.0300
8,1k,y2_base,56,50,0.8670,0.8179,1.2757,-0.1776,1.9028e-01,-0.0964
8,1k,y2_rpe_cur_L16k,56,49,0.9140,0.8546,1.3298,-0.1947,1.5048e-01,-0.1453
8,2k,lora_base,60,51,3.5399,3.5059,3.7321,-0.1444,2.7114e-01,-0.1981
8,2k,y2_base,60,50,3.5209,3.4893,3.6792,-0.2358,6.9691e-02,-0.1988
8,2k,y2_rpe_cur_L16k,60,53,3.6433,3.6559,3.5483,0.0621,6.3763e-01,0.0585
8,4k,lora_base,60,53,3.3832,3.3612,3.5496,-0.1034,4.3193e-01,-0.1274
8,4k,y2_base,60,45,3.1898,3.1614,3.2750,-0.1336,3.0895e-01,-0.1300
8,4k,y2_rpe_cur_L16k,60,52,3.6225,3.6773,3.2661,0.2354,7.0242e-02,0.2690
8,8k,lora_base,60,47,3.4626,3.3970,3.6999,-0.1789,1.7138e-01,-0.1413
8,8k,y2_base,60,45,3.1039,3.0777,3.1827,-0.0959,4.6620e-01,-0.0656
8,8k,y2_rpe_cur_L16k,60,51,3.6241,3.5590,3.9931,-0.2409,6.3741e-02,-0.3167
8,16k,lora_base,60,47,3.3054,3.3088,3.2935,0.0091,9.4522e-01,0.0409
8,16k,y2_base,60,45,3.0160,3.0807,2.8219,0.1983,1.2880e-01,0.1634
8,16k,y2_rpe_cur_L16k,60,48,3.2481,3.1833,3.5073,-0.1912,1.4335e-01,-0.1660
8,32k,lora_base,60,37,3.5870,3.5662,3.6205,-0.0390,7.6744e-01,-0.0406
8,32k,y2_base,60,34,3.1509,3.1652,3.1322,0.0273,8.3571e-01,0.0019
8,32k,y2_rpe_cur_L16k,60,50,3.3439,3.3222,3.4527,-0.0731,5.7876e-01,-0.0568
8,64k,lora_base,60,28,3.1338,3.0573,3.2007,-0.1313,3.1750e-01,-0.1466
8,64k,y2_base,60,28,2.9012,2.8354,2.9587,-0.0983,4.5490e-01,-0.0810
8,64k,y2_rpe_cur_L16k,60,39,2.8543,2.7505,3.0472,-0.2661,3.9901e-02,-0.2411
8,128k,lora_base,60,21,2.6691,2.6766,2.6651,0.0073,9.5615e-01,0.0817
8,128k,y2_base,60,23,2.2655,2.2130,2.2981,-0.0517,6.9476e-01,-0.0663
